"sorszam","telnev","iskola","egyutt","neme","szulev","htfovi","neme2","szulev2","szulho2","htfovi2","neme3","szulev3","szulho3","htfovi3","neme4","szulev4","szulho4","htfovi4","neme5","szulev5","szulho5","htfovi5","neme6","szulev6","szulho6","htfovi6","csalall","dolg","agazat","htnetto","d9","d10","d11"
49,"Mohács                   ","Egyetem / MA / MSc","5","Nő","1970","Élettársa","Férfi","1969","4","Családfő","Nő","1948","8","Szülője, anyósa, apósa","Nő","2010","7","Gyermeke","Nő","2013","7","Gyermeke",NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység","540000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
50,"Mohács                   ","8 általános","Egyedül él                    ","Nő","1960","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","75000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
53,"Mohács                   ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","Egyedül él                    ","Férfi","1948","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Egyéb szolgáltatás","160000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
54,"Mohács                   ","8 általános","Egyedül él                    ","Férfi","1958","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Munkanélküli","Építőipar","60000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
58,"Mohács                   ","8 általános","3","Nő","1969","Családfő","Nő","1950","5","Szülője, anyósa, apósa","Nő","2007","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Humán-egészségügyi, szociális ellátás","2e+05","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
61,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1955","Családfő","Nő","1959","2","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
63,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1985","Gyermeke","Nő","1953","2","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","450000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
66,"Pécs                     ","Gimnáziumi érettségi","2","Férfi","1983","Családfő","Nő","1981","9","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
70,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1973","Családfő","Nő","1973","2","Házastársa","Nő","1955","9","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Szállítás, raktározás","4e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
72,"Pécs                     ","Gimnáziumi érettségi","2","Férfi","1959","Családfő","Nő","1972","8","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Szállítás, raktározás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
75,"Pécs                     ","Gimnáziumi érettségi","3","Nő","1964","Házastársa","Férfi","1962","4","Családfő","Nő","1936","8","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
76,"Pécs                     ","Gimnáziumi érettségi","2","Nő","1964","Házastársa","Férfi","1962","4","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Humán-egészségügyi, szociális ellátás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
77,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1960","Családfő","Nő","1964","2","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Bányászat, kőfejtés","4e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
85,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Férfi","1987","Családfő","Nő","1990","1","Házastársa","Férfi","2015","1","Gyermeke","Nő","2017","1","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","295000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
86,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1984","Családfő","Nő","1988","8","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","90000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
90,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1980","Családfő","Nő","1984","10","Házastársa","Férfi","2008","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","3e+05","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
91,"Pécs                     ","8 általános","4","Férfi","1975","Családfő","Nő","1975","7","Házastársa","Férfi","2002","8","Gyermeke","Férfi","2004","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Művészet, szórakoztatás, szabadidő","190000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
92,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Nő","1996","Gyermeke","Nő","1975","5","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Kereskedelem, gépjárműjavítás","150000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
93,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Nő","1995","Gyermeke","Férfi","1971","12","Családfő","Nő","1994","7","Gyermeke","Férfi","1990","3","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Pénzügyi, biztosítási tevékenység","3e+05","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
95,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","3","Nő","1979","Gyermeke","Nő","1954","1","Családfő","Férfi","2001","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Kereskedelem, gépjárműjavítás","180000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
96,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1987","Családfő","Nő","1992","4","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Kereskedelem, gépjárműjavítás","224000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
99,"Pécs                     ","Egyetem / MA / MSc","Egyedül él                    ","Férfi","1992","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Szakmai, tudományos, műszaki tevékenység","2e+05","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
100,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Nő","1947","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Munkanélküli","Szállítás, raktározás","53500","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
101,"Pécs                     ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","3","Nő","1940","Szülője, anyósa, apósa","Nő","1958","3","Családfő","Férfi","1990","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Kereskedelem, gépjárműjavítás","370000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
103,"Pécs                     ","Gimnáziumi érettségi","3","Nő","1977","Gyermeke","Nő","1956","3","Házastársa","Férfi","1947","4","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Pénzügyi, biztosítási tevékenység","28500","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
105,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1964","Házastársa","Férfi","1961","12","Családfő","Nő","1938","5","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
107,"Pécs                     ","Gimnáziumi érettségi","4","Férfi","1956","Családfő","Nő","1981","6","Házastársa","Férfi","2005","11","Gyermeke","Férfi","2009","10","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Szállítás, raktározás","250000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
108,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1964","Családfő","Nő","1943","9","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Vízellátás, szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés","120000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
110,"Pécs                     ","Gimnáziumi érettségi","3","Férfi","1978","Családfő","Nő","1984","2","Házastársa","Férfi","2008","12","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
112,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","2","Nő","1973","Családfő","Nő","1952","6","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","20000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
113,"Pécs                     ","Főiskola / BA / BSc","2","Nő","1986","Családfő","Nő","1935","9","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
114,"Pécs                     ","Főiskola / BA / BSc","2","Nő","1979","Családfő","Nő","1960","1","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Egyéb szolgáltatás","245000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
115,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1958","Családfő","Nő","1964","8","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","265000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
116,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Nő","1966","Családfő",NA,NA,NA,"Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Pénzügyi, biztosítási tevékenység","145000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
117,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1982","Házastársa","Férfi","1978","4","Családfő","Nő","2014","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Ingatlanügyletek","360000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
119,"Pécs                     ","Akkreditált felsőfokú szakképzés; felsőfokú technikum","3","Férfi","1990","Családfő","Nő","1992","4","Házastársa","Nő","2016","6","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","360000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
120,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Nő","1967","Családfő","Férfi","2000","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység","245000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
121,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Férfi","1971","Családfő","Nő","1972","4","Házastársa","Nő","2001","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","345000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
122,"Pécs                     ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1969","Családfő","Nő","1969","6","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","385000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
123,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1993","Gyermeke","Férfi","1956","2","Családfő","Nő","1956","4","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Kereskedelem, gépjárműjavítás","485000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
124,"Pécs                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Nő","1977","Házastársa","Férfi","1975","4","Családfő","Nő","2000","6","Gyermeke","Férfi","2009","2","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","385000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
125,"Somogyhatvan             ","8 általános","3","Nő","1991","Élettársa","Férfi","1976","5","Családfő","Nő","1946","11","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Egyéb szolgáltatás","160000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
